x1,y1,x2,y2,x3,y3
261,322,210,319,215,355
260,322,211,317,212,353
258,322,214,320,217,352
257,322,214,321,215,350
255,323,213,321,213,349
254,324,213,321,213,347
253,325,214,321,213,346
252,325,215,321,212,345
248,328,215,321,212,344
247,326,215,321,211,342
245,326,216,322,211,341
243,326,217,323,211,339
243,327,218,324,212,337
243,328,221,326,214,335
243,327,222,327,215,333
243,328,223,327,215,332
242,328,224,328,215,331
242,327,225,329,216,330
242,327,226,330,219,329
242,326,228,331,220,328
240,326,229,332,222,327
239,326,231,333,222,326
238,325,231,335,222,325
238,325,233,334,223,324
238,325,234,334,223,324
239,325,234,334,224,323
239,325,234,336,225,323
239,324,235,336,226,323
239,324,237,338,226,322
238,323,237,339,227,322
238,323,235,340,227,321
237,322,235,341,228,321
237,321,235,341,228,321
236,320,236,341,228,321
236,320,235,341,229,321
235,319,235,342,229,321
235,318,234,343,228,320
235,318,232,343,227,321
235,317,231,343,228,323
235,316,230,343,228,324
235,314,229,344,228,325
236,313,228,344,228,326
234,312,225,346,227,326
234,311,224,347,226,328
234,310,223,346,226,327
234,309,222,347,226,328
234,308,221,347,226,331
236,307,221,346,226,331
235,306,220,346,226,331
236,306,220,346,226,333
236,305,219,346,226,334
237,305,219,346,226,334
236,304,218,346,226,335
236,304,217,348,226,336
237,303,217,348,226,336
238,302,216,348,227,337
237,300,216,349,227,337
238,300,216,349,228,338
238,298,215,350,228,339
238,298,214,350,229,339
238,297,214,350,229,339
238,297,214,351,229,341
239,297,214,351,228,341
239,295,214,351,229,341
239,295,213,351,229,341
239,295,213,351,230,342
239,296,212,350,230,342
239,296,213,348,229,343
241,297,213,348,228,343
241,297,213,348,228,343
240,296,213,348,228,343
239,297,212,348,227,343
239,297,212,348,227,342
238,296,212,349,229,342
237,295,212,351,228,342
235,295,212,352,228,341
234,294,212,353,229,340
234,292,212,355,229,339
231,290,212,357,230,338
231,290,212,358,231,336
229,289,212,360,231,335
228,288,213,362,232,334
226,286,213,364,234,332
223,285,213,366,235,331
222,282,213,370,237,332
222,281,213,371,238,330
220,279,214,374,239,329
218,277,214,377,241,326
218,276,215,380,243,325
216,273,215,384,245,324
215,272,215,386,246,324
213,269,215,389,249,322
212,267,215,392,251,320
211,265,216,396,254,319
210,262,216,399,256,318
209,260,216,402,257,317
208,258,215,405,259,317
207,255,215,407,263,316
206,252,215,410,264,316
206,249,215,414,268,315
205,246,214,417,271,315
203,243,214,420,271,316
203,241,213,422,273,315
202,240,213,424,275,315
202,238,212,426,277,315
201,236,212,428,280,315
201,234,211,430,280,315
200,232,211,431,282,315
200,231,211,434,283,315
200,229,211,435,286,315
200,228,211,436,287,315
200,228,212,436,288,315
200,228,212,436,288,315
200,229,212,436,287,315
201,231,212,434,285,315
201,233,213,434,284,315
202,236,213,432,283,313
202,239,214,429,280,313
203,243,215,426,275,313
204,247,215,422,271,313
204,250,215,418,269,313
205,254,215,414,266,314
207,259,216,409,260,315
208,263,216,404,256,315
208,266,216,400,252,317
208,270,215,395,249,317
209,273,214,390,244,317
209,277,213,387,240,320
210,280,212,383,237,320
211,284,211,378,233,322
212,286,210,374,229,324
213,289,209,370,226,326
215,292,208,366,225,327
216,294,207,362,222,329
218,296,206,358,220,331
220,298,205,355,218,333
222,300,205,351,217,335
225,301,204,348,216,337
228,302,204,346,215,339
230,305,204,343,214,341
232,304,203,342,213,343
234,306,203,340,213,344
236,307,203,338,212,345
237,308,202,337,211,347
237,308,202,336,210,347
236,310,201,335,209,348
234,309,199,334,208,348
232,311,198,334,205,348
230,311,196,332,202,348
226,312,193,331,199,347
223,313,190,331,196,347
219,313,188,331,192,347
215,314,185,331,189,347
210,314,181,331,186,346
208,315,178,330,182,346
203,315,176,330,179,346
199,315,172,330,175,347
195,315,169,329,171,347
192,316,165,330,169,347
187,315,161,330,165,347
185,314,158,330,162,347
182,314,154,331,159,348
179,313,151,331,157,348
175,313,148,332,153,348
172,312,146,332,152,349
170,311,143,333,148,349
167,310,140,334,146,349
163,309,138,334,145,350
163,309,136,334,143,350
